int64_field_0,id,latitude,locked,longitude,name,terminal_name,borough,string_field_8,borough_key
13,92,51.49889832,False,-0.100440521,"Borough Road, Elephant & Castle",1082,Southwark,,1
17,314,51.50088934,False,-0.083159352,"Tyers Gate, Bermondsey",3485,Southwark,,1
19,421,51.504044,False,-0.104778,"Southwark Station 2, Southwark",22163,Southwark,,1
24,193,51.50581776,False,-0.100186337,"Bankside Mix, Bankside",963,Southwark,,1
26,240,51.50545935,False,-0.10569204,"Colombo Street, Southwark",3472,Southwark,,1
117,849,51.495598,False,-0.078893,"Crimscott Street, Bermondsey",300061,Southwark,,1
172,411,51.499169,False,-0.055846029,"Rotherhithe Roundabout, Rotherhithe",10629,Southwark,,1
183,845,51.497995,False,-0.063471392,"Bermondsey Station, Bermondsey",300253,Southwark,,1
197,152,51.49217002,False,-0.101536865,"Hampton Street, Walworth",1118,Southwark,,1
201,850,51.489102,False,-0.0915489,"Brandon Street, Walworth",300060,Southwark,,1
206,820,51.492807,False,-0.091938,"Victory Place, Walworth",300239,Southwark,,1
228,666,51.492668,False,-0.072350665,"Harris Academy, Bermondsey",300004,Southwark,,1
236,840,51.498585,False,-0.068981764,"George Row, Bermondsey",2679,Southwark,,1
257,841,51.500845,False,-0.074704305,"Tower Wharf, Bermondsey",2667,Southwark,,1
268,235,51.49571828,False,-0.110889274,"Kennington Road  , Vauxhall",1154,Southwark,,1
318,298,51.50227992,False,-0.074189225,"Curlew Street, Shad Thames",1213,Southwark,,1
322,851,51.492221,False,-0.0625131,"The Blue, Bermondsey",300059,Southwark,,1
327,847,51.488067,False,-0.057774596,"South Bermondsey Station, Bermondsey",300062,Southwark,,1
338,297,51.49612799,False,-0.106000855,"Geraldine Street, Elephant & Castle",3498,Southwark,,1
339,10,51.50597426,False,-0.092754157,"Park Street, Bankside",1024,Southwark,,1
347,321,51.49785559,False,-0.081608045,"Bermondsey Street, Bermondsey",2637,Southwark,,1
384,230,51.50669284,False,-0.103137426,"Poured Lines, Bankside",1144,Southwark,,1
395,196,51.50368837,False,-0.098497684,"Union Street, The Borough",961,Southwark,,1
404,732,51.50630441,False,-0.087262995,"Duke Street Hill, London Bridge",300083,Southwark,,1
409,725,51.491327,False,-0.096518684,"Walworth Square, Walworth",300050,Southwark,,1
