Year,Month,Average_Hire_Time_mins,Number_of_Bicycle_Hires,Average_Trip_Length_meters
2018,1,16.1,588148,2085.12
2018,2,16.3,523116,2055.09
2018,3,17.3,549970,2065.75
2018,4,21.2,749186,2088.85
2018,5,22.3,1010885,2115.92
2018,6,21.7,1075495,2126.99
2018,7,22.5,1138544,2135.91
2018,8,21.7,963339,2097.46
2018,9,19.6,1078631,2118.46
2018,10,18.1,1798448,2137.21
2018,11,16.8,1145099,2110.74
2018,12,18.7,540379,2012.13
2019,1,16.1,636052,2082.74
2019,2,18.1,648383,2080.59
2019,3,17.9,733737,2087.81
2019,4,21.2,824015,2085.07
2019,5,19.9,929883,2126.08
2019,6,21.3,931075,2119.71
2019,7,21.5,1072796,2146.17
2019,8,22.6,986141,2095.06
2019,9,19.1,905472,2132.01
2019,10,17.6,799707,2139.4
2019,11,16.2,686027,2129.95
2019,12,18.6,555685,2056.67
2020,1,16.3,666295,2124.19
2020,2,16.0,605606,2117.91
2020,3,20.2,525059,2165.8
2020,4,37.8,562761,1988.59
2020,5,42.4,1060554,2205.97
2020,6,33.1,1092788,2305.47
2020,7,26.1,987526,2297.01
2020,8,24.2,927889,2207.88
2020,9,22.5,1080099,2281.26
2020,10,19.8,807212,2210.2
2020,11,23.7,694623,2184.5
2020,12,22.5,559843,2136.13
2021,1,24.0,393062,2175.68
2021,2,26.6,489525,2190.54
2021,3,26.1,717554,2166.49
2021,4,25.9,903109,2140.18
2021,5,22.0,886289,2184.85
2021,6,22.2,1137025,2186.54
2021,7,22.2,1129447,2185.83
2021,8,22.0,1075095,2152.97
2021,9,20.3,1182760,2231.85
2021,10,19.1,1078214,2192.93
2021,11,17.5,919692,2204.8
2021,12,19.2,647938,2091.48
2022,1,17.9,727693,2154.51
2022,2,17.8,730080,2171.94
2022,3,19.6,1029417,2289.65
2022,4,21.7,1000565,2194.01
2022,5,20.7,1168340,2213.03
2022,6,22.2,1248129,2285.24
2022,7,21.7,1281735,2227.31
2022,8,21.8,1227031,2244.47
2022,9,27.3,785464,2273.2
2022,10,22.9,851894,2318.47
2022,11,21.7,717200,2332.44
2022,12,22.7,467547,2211.18
