,week_day,hour_slots,count_of_bike_hires
0,Friday,00,72955
1,Friday,01,40089
2,Friday,02,24197
3,Friday,03,16607
4,Friday,04,16865
5,Friday,05,34150
6,Friday,06,149657
7,Friday,07,400743
8,Friday,08,711425
9,Friday,09,439096
10,Friday,10,294231
11,Friday,11,314157
12,Friday,12,395325
13,Friday,13,415120
14,Friday,14,414195
15,Friday,15,457717
16,Friday,16,567940
17,Friday,17,776969
18,Friday,18,691952
19,Friday,19,468492
20,Friday,20,307229
21,Friday,21,225585
22,Friday,22,198400
23,Friday,23,164708
24,Monday,00,57523
25,Monday,01,32029
26,Monday,02,18242
27,Monday,03,13037
28,Monday,04,14317
29,Monday,05,33685
30,Monday,06,151724
31,Monday,07,423941
32,Monday,08,743554
33,Monday,09,411964
34,Monday,10,261449
35,Monday,11,278934
36,Monday,12,343635
37,Monday,13,360761
38,Monday,14,360961
39,Monday,15,401469
40,Monday,16,512352
41,Monday,17,813183
42,Monday,18,771500
43,Monday,19,489372
44,Monday,20,314044
45,Monday,21,210029
46,Monday,22,146815
47,Monday,23,84700
48,Saturday,00,125472
49,Saturday,01,89737
50,Saturday,02,59725
51,Saturday,03,40411
52,Saturday,04,27019
53,Saturday,05,22287
54,Saturday,06,40736
55,Saturday,07,83636
56,Saturday,08,165983
57,Saturday,09,281578
58,Saturday,10,399383
59,Saturday,11,511995
60,Saturday,12,596232
61,Saturday,13,641960
62,Saturday,14,657934
63,Saturday,15,656034
64,Saturday,16,625887
65,Saturday,17,578111
66,Saturday,18,500894
67,Saturday,19,398013
68,Saturday,20,285830
69,Saturday,21,213750
70,Saturday,22,192022
71,Saturday,23,162800
72,Sunday,00,130858
73,Sunday,01,97724
74,Sunday,02,65636
75,Sunday,03,43777
76,Sunday,04,27776
77,Sunday,05,20971
78,Sunday,06,31329
79,Sunday,07,56349
80,Sunday,08,109405
81,Sunday,09,216122
82,Sunday,10,352057
83,Sunday,11,475574
84,Sunday,12,580413
85,Sunday,13,621477
86,Sunday,14,619352
87,Sunday,15,606040
88,Sunday,16,574946
89,Sunday,17,508974
90,Sunday,18,441800
91,Sunday,19,331644
92,Sunday,20,237480
93,Sunday,21,169414
94,Sunday,22,129340
95,Sunday,23,87430
96,Thursday,00,58910
97,Thursday,01,32109
98,Thursday,02,19422
99,Thursday,03,13322
100,Thursday,04,14396
101,Thursday,05,34941
102,Thursday,06,172909
103,Thursday,07,493368
104,Thursday,08,866144
105,Thursday,09,479413
106,Thursday,10,281132
107,Thursday,11,285235
108,Thursday,12,350067
109,Thursday,13,362549
110,Thursday,14,357316
111,Thursday,15,404079
112,Thursday,16,526308
113,Thursday,17,833957
114,Thursday,18,812887
115,Thursday,19,516195
116,Thursday,20,333455
117,Thursday,21,246680
118,Thursday,22,200384
119,Thursday,23,133411
120,Tuesday,00,46556
121,Tuesday,01,25776
122,Tuesday,02,14667
123,Tuesday,03,10583
124,Tuesday,04,13288
125,Tuesday,05,36743
126,Tuesday,06,187636
127,Tuesday,07,520891
128,Tuesday,08,889904
129,Tuesday,09,466699
130,Tuesday,10,275290
131,Tuesday,11,275279
132,Tuesday,12,337463
133,Tuesday,13,350498
134,Tuesday,14,349734
135,Tuesday,15,393171
136,Tuesday,16,526003
137,Tuesday,17,879250
138,Tuesday,18,854742
139,Tuesday,19,537638
140,Tuesday,20,340049
141,Tuesday,21,237812
142,Tuesday,22,175276
143,Tuesday,23,81078
144,Wednesday,00,54127
145,Wednesday,01,28683
146,Wednesday,02,16554
147,Wednesday,03,11574
148,Wednesday,04,13877
149,Wednesday,05,36592
150,Wednesday,06,182720
151,Wednesday,07,509320
152,Wednesday,08,877573
153,Wednesday,09,477183
154,Wednesday,10,280243
155,Wednesday,11,285226
156,Wednesday,12,353469
157,Wednesday,13,361516
158,Wednesday,14,351343
159,Wednesday,15,387872
160,Wednesday,16,510927
161,Wednesday,17,848831
162,Wednesday,18,840333
163,Wednesday,19,531560
164,Wednesday,20,331646
165,Wednesday,21,242147
166,Wednesday,22,191349
167,Wednesday,23,115652
