zone,avg_lat,avg_lon
Aldgate,51.51398,-0.07464
Angel,51.53324,-0.10652
Avondale,51.51154,-0.21514
Bank,51.5128,-0.09163
Bankside,51.50618,-0.09824
Barbican,51.52011,-0.09512
Battersea,51.47151,-0.16366
Battersea Park,51.47738,-0.1542
Bayswater,51.515,-0.18647
Belgravia,51.49656,-0.15272
Bermondsey,51.49718,-0.073
Bethnal Green,51.52744,-0.05739
Blackwall,51.5072,-0.0059
Bloomsbury,51.52292,-0.12635
Borough,51.49946,-0.09326
Bow,51.5255,-0.02317
Brixton,51.4635,-0.11478
Brook Green,51.4955,-0.21984
Camden Town,51.53821,-0.14134
Canary Wharf,51.50414,-0.0204
Chelsea,51.48862,-0.16723
Clapham,51.46506,-0.14435
Clapham Common,51.46137,-0.14878
Clapham Junction,51.46406,-0.17169
Clerkenwell,51.5262,-0.10962
Covent Garden,51.51554,-0.12301
Cubitt Town,51.49292,-0.01048
De Beauvoir Town,51.53728,-0.0792
Earl's Court,51.49213,-0.19276
East Putney,51.45941,-0.20452
Elephant & Castle,51.49684,-0.10327
Euston,51.5261,-0.13489
Farringdon,51.51778,-0.1022
Finsbury,51.52687,-0.10235
Fitzrovia,51.51986,-0.13867
Fulham,51.47634,-0.21127
Guildhall,51.51718,-0.09211
Hackney Central,51.53829,-0.05902
Hackney Wick,51.54031,-0.02163
Haggerston,51.53581,-0.07083
Hammersmith,51.48948,-0.22358
Holborn,51.51776,-0.11324
Holland Park,51.50396,-0.21031
Hoxton,51.53134,-0.08565
Hyde Park,51.50562,-0.16149
"Isley Court, Wandsworth Road",51.46926,-0.14181
Kennington,51.48872,-0.10729
Kensington,51.50034,-0.19268
Kensington Gardens,51.506,-0.18487
King's Cross,51.53367,-0.12209
Knightsbridge,51.49808,-0.16788
Ladbroke Grove,51.51095,-0.20618
Limehouse,51.5121,-0.03294
Liverpool Street,51.51883,-0.08165
London Bridge,51.50423,-0.08544
Maida Vale,51.52626,-0.18231
Marylebone,51.51948,-0.15783
Mayfair,51.50988,-0.1479
Mile End,51.52326,-0.03619
Millwall,51.49424,-0.02052
Monument,51.50981,-0.08432
Moorgate,51.5203,-0.08794
Nine Elms,51.48107,-0.1387
North Kensington,51.51904,-0.21138
Notting Hill,51.51034,-0.19818
Old Ford,51.53424,-0.03165
Olympia,51.49797,-0.2099
Oval,51.48354,-0.11382
Paddington,51.51778,-0.17339
Parson's Green,51.47204,-0.20051
Pimlico,51.48891,-0.13785
Poplar,51.51362,-0.01592
Portobello,51.51844,-0.2023
Putney,51.46188,-0.2143
Queen Elizabeth Olympic Park,51.54529,-0.01581
Rotherhithe,51.4988,-0.0525
Sands End,51.47049,-0.18915
Shad Thames,51.50228,-0.07419
Shadwell,51.51053,-0.05564
Shepherd's Bush,51.50309,-0.21891
Shoreditch,51.52416,-0.07619
Sloane Square,51.49313,-0.15688
Soho,51.5134,-0.13325
Somers Town,51.52907,-0.13026
South Bank,51.50561,-0.1129
South Kensington,51.49441,-0.17807
Southwark,51.50394,-0.10448
St. James's,51.50703,-0.1332
St. Luke's,51.52613,-0.0929
St. Paul's,51.51356,-0.0994
St.John's Wood,51.52981,-0.17254
Stepney,51.51704,-0.04924
Stockwell,51.4741,-0.11947
Strand,51.51027,-0.12048
Stratford,51.5418,-0.00481
Temple,51.5121,-0.10936
The Regent's Park,51.53038,-0.15448
Tower,51.50894,-0.07437
Vauxhall,51.49028,-0.1185
Victoria,51.49382,-0.14285
Victoria Park,51.53902,-0.03903
Walham Green,51.47731,-0.19283
Walworth,51.48986,-0.09434
Wandsworth,51.45998,-0.19446
Wandsworth Common,51.45787,-0.17469
Wandsworth Road,51.47301,-0.13444
Wapping,51.50669,-0.06397
Waterloo,51.50095,-0.11342
West Brompton,51.48486,-0.18634
West Chelsea,51.48226,-0.17975
West End,51.50988,-0.13306
West Kensington,51.4876,-0.20617
Westminster,51.49676,-0.13301
White City,51.51196,-0.22494
Whitechapel,51.51808,-0.06597
