index,name,trips,lat,lon,trips_scaled
4066,Hyde Park - Kensington Gardens,260185,"(51.50562, 51.506)","(-0.16149, -0.18487)",1.0
1265,Bethnal Green - Shoreditch,172041,"(51.52744, 51.52416)","(-0.05739, -0.07619)",0.6612243642960366
3912,Holborn - Waterloo,165402,"(51.51776, 51.50095)","(-0.11324, -0.11342)",0.6357078067828921
4075,Hyde Park - Mayfair,156800,"(51.50562, 51.50988)","(-0.16149, -0.1479)",0.6026465885680902
683,Battersea - Clapham Junction,156729,"(51.47151, 51.46406)","(-0.16366, -0.17169)",0.6023737047627832
3854,Holborn - King's Cross,154330,"(51.51776, 51.53367)","(-0.11324, -0.12209)",0.5931533068905082
1437,Bloomsbury - King's Cross,148688,"(51.52292, 51.53367)","(-0.12635, -0.12209)",0.5714686529532945
3393,Fulham - Hammersmith,147381,"(51.47634, 51.48948)","(-0.21127, -0.22358)",0.566445284875319
4848,Marylebone - Paddington,143580,"(51.51948, 51.51778)","(-0.15783, -0.17339)",0.5518363927066998
4837,Marylebone - Mayfair,140325,"(51.51948, 51.50988)","(-0.15783, -0.1479)",0.5393260154352304
1429,Bloomsbury - Holborn,138721,"(51.52292, 51.51776)","(-0.12635, -0.11324)",0.5331611474956184
4074,Hyde Park - Marylebone,136641,"(51.50562, 51.51948)","(-0.16149, -0.15783)",0.5251668050302862
3843,Hammersmith - West Kensington,135496,"(51.48948, 51.4876)","(-0.22358, -0.20617)",0.520766073240476
667,Battersea - Battersea Park,134010,"(51.47151, 51.47738)","(-0.16366, -0.1542)",0.5150547304984164
5597,Pimlico - Westminster,133648,"(51.48891, 51.49676)","(-0.13785, -0.13301)",0.5136634074347385
6416,Vauxhall - Waterloo,132416,"(51.49028, 51.50095)","(-0.1185, -0.11342)",0.5089282968975801
4307,Kensington - South Kensington,132062,"(51.50034, 51.49441)","(-0.19268, -0.17807)",0.5075677213049227
4876,Marylebone - The Regent's Park,131803,"(51.51948, 51.53038)","(-0.15783, -0.15448)",0.5065722719306337
3330,Fitzrovia - Marylebone,131502,"(51.51986, 51.51948)","(-0.13867, -0.15783)",0.505415398333487
4130,Hyde Park - Westminster,129895,"(51.50562, 51.49676)","(-0.16149, -0.13301)",0.4992390000922424
6421,Vauxhall - Westminster,127520,"(51.49028, 51.49676)","(-0.1185, -0.13301)",0.49011084463302895
5584,Pimlico - Victoria,127250,"(51.48891, 51.49382)","(-0.13785, -0.14285)",0.4890731174860868
3464,Fulham - West Kensington,119971,"(51.47634, 51.4876)","(-0.21127, -0.20617)",0.46109676229130153
4068,Hyde Park - Knightsbridge,118751,"(51.50562, 51.49808)","(-0.16149, -0.16788)",0.456407772960674
4870,Marylebone - St.John's Wood,118735,"(51.51948, 51.52981)","(-0.15783, -0.17254)",0.456346278018633
4502,Knightsbridge - South Kensington,118265,"(51.49808, 51.49441)","(-0.16788, -0.17807)",0.4545398640961781
6331,Strand - Westminster,114589,"(51.51027, 51.49676)","(-0.12048, -0.13301)",0.4404114011622544
6436,Victoria - Westminster,113903,"(51.49382, 51.49676)","(-0.14285, -0.13301)",0.4377748055222458
4065,Hyde Park - Kensington,110960,"(51.50562, 51.50034)","(-0.16149, -0.19268)",0.4264635796205762
1645,Bow - Mile End,108554,"(51.5255, 51.52326)","(-0.02317, -0.03619)",0.41721627771115827
4028,Hoxton - Shoreditch,107460,"(51.53134, 51.52416)","(-0.08565, -0.07619)",0.4130115610491037
1925,Camden Town - King's Cross,107093,"(51.53821, 51.53367)","(-0.14134, -0.12209)",0.4116010208160379
1444,Bloomsbury - Marylebone,106063,"(51.52292, 51.51948)","(-0.12635, -0.15783)",0.4076422839221474
4683,Liverpool Street - Shoreditch,106001,"(51.51883, 51.52416)","(-0.08165, -0.07619)",0.40740399102173847
1096,Bermondsey - Borough,104292,"(51.49718, 51.49946)","(-0.073, -0.09326)",0.4008355625249823
790,Battersea Park - Clapham Junction,103906,"(51.47738, 51.46406)","(-0.1542, -0.17169)",0.3993519970482428
929,Bayswater - Marylebone,103777,"(51.515, 51.51948)","(-0.18647, -0.15783)",0.3988561940780371
1595,Borough - Waterloo,102333,"(51.49946, 51.50095)","(-0.09326, -0.11342)",0.3933062755588353
6296,Stockwell - Vauxhall,101889,"(51.4741, 51.49028)","(-0.11947, -0.1185)",0.39159979091719704
4710,Liverpool Street - Waterloo,99196,"(51.51883, 51.50095)","(-0.08165, -0.11342)",0.38124942348491836
1932,Camden Town - Marylebone,98068,"(51.53821, 51.51948)","(-0.14134, -0.15783)",0.37691403007102664
4036,Hoxton - St. Luke's,97225,"(51.53134, 51.52613)","(-0.08565, -0.0929)",0.3736740153122406
1276,Bethnal Green - Stepney,96533,"(51.52744, 51.51704)","(-0.05739, -0.04924)",0.37101435906896657
155,Angel - Hoxton,96391,"(51.53324, 51.53134)","(-0.10652, -0.08565)",0.37046859145835254
1406,Bloomsbury - Camden Town,96360,"(51.52292, 51.53821)","(-0.12635, -0.14134)",0.3703494450081481
4111,Hyde Park - Strand,95125,"(51.50562, 51.51027)","(-0.16149, -0.12048)",0.3656028041693571
787,Battersea Park - Chelsea,94240,"(51.47738, 51.48862)","(-0.1542, -0.16723)",0.36220136518771334
4272,Kensington - Knightsbridge,94119,"(51.50034, 51.49808)","(-0.19268, -0.16788)",0.3617363096885281
6290,Stepney - Whitechapel,93283,"(51.51704, 51.51808)","(-0.04924, -0.06597)",0.358523198966885
4474,Knightsbridge - Mayfair,92088,"(51.49808, 51.50988)","(-0.16788, -0.1479)",0.3539302954831965
917,Bayswater - Hyde Park,92080,"(51.515, 51.50562)","(-0.18647, -0.16149)",0.353899548012176
4862,Marylebone - Soho,91575,"(51.51948, 51.5134)","(-0.15783, -0.13325)",0.3519586139040064
3738,Haggerston - Shoreditch,91098,"(51.53581, 51.52416)","(-0.07083, -0.07619)",0.35012529594440855
4001,Hoxton - Liverpool Street,91077,"(51.53134, 51.51883)","(-0.08565, -0.08165)",0.35004458383297976
4409,King's Cross - Marylebone,90409,"(51.53367, 51.51948)","(-0.12209, -0.15783)",0.3474771700027673
2827,Earl's Court - Kensington,90260,"(51.49213, 51.50034)","(-0.19276, -0.19268)",0.3469044983550103
4984,Mile End - Stepney,89731,"(51.52326, 51.51704)","(-0.03619, -0.04924)",0.34487132183377917
3422,Fulham - Parson's Green,89277,"(51.47634, 51.47204)","(-0.21127, -0.20051)",0.3431264028533653
2150,Chelsea - South Kensington,88923,"(51.48862, 51.49441)","(-0.16723, -0.17807)",0.3417658272607078
4473,Knightsbridge - Marylebone,87250,"(51.49808, 51.51948)","(-0.16788, -0.15783)",0.33533576238354396
4103,Hyde Park - South Kensington,87179,"(51.50562, 51.49441)","(-0.16149, -0.17807)",0.33506287857823697
5828,Sands End - Walham Green,86344,"(51.47049, 51.47731)","(-0.18915, -0.19283)",0.33185361129047136
2865,Earl's Court - South Kensington,85625,"(51.49213, 51.49441)","(-0.19276, -0.17807)",0.32909018233250315
440,Bank - Waterloo,85506,"(51.5128, 51.50095)","(-0.09163, -0.11342)",0.3286328137010731
1972,Camden Town - The Regent's Park,83818,"(51.53821, 51.53038)","(-0.14134, -0.15448)",0.3221450973157458
161,Angel - King's Cross,83818,"(51.53324, 51.53367)","(-0.10652, -0.12209)",0.3221450973157458
