latitude,longitude,install_date,year_added,exist_in_year
51.52168078,-0.130431727,2010-07-05,2010,2010
51.5341235,-0.129386874,2010-07-07,2010,2010
51.494412,-0.173881,2010-10-25,2010,2010
51.50923022,-0.151296092,2010-07-22,2010,2010
51.51362054,-0.116764211,2010-07-21,2010,2010
51.51821864,-0.100791005,2010-07-18,2010,2010
51.50645179,-0.170279555,2010-07-20,2010,2010
51.50556905,-0.111606696,2010-07-17,2010,2010
51.515208,-0.117863,2010-12-07,2010,2010
51.5291212008901,-0.171185284853,2010-11-16,2010,2010
51.52326004,-0.104708922,2010-07-15,2010,2010
51.49914063,-0.112031483,2010-07-21,2010,2010
51.49488108,-0.117974901,2010-07-15,2010,2010
51.48591714,-0.124469948,2010-07-12,2010,2010
51.49888404,-0.165471605,2010-07-22,2010,2010
51.49234577,-0.141334487,2010-07-16,2010,2010
51.52200801,-0.151359288,2010-07-20,2010,2010
51.461388,-0.13922146,2010-10-22,2010,2010
51.51816295,-0.135025698,2010-07-22,2010,2010
51.51251523,-0.133201961,2010-07-17,2010,2010
51.515607,-0.183118788,2010-07-16,2010,2010
51.51494305,-0.11614642,2010-07-15,2010,2010
51.49652013,-0.101384068,2010-07-23,2010,2010
51.52554222,-0.138231303,2010-07-14,2010,2010
51.50462759,-0.091773776,2010-07-17,2010,2010
51.49705603,-0.168917077,2010-07-15,2010,2010
51.49481649,-0.13045856,2010-07-19,2010,2010
51.5333196,-0.1117812,2010-07-26,2010,2010
51.52248185,-0.154907218,2010-07-21,2010,2010
51.520205,-0.174593,2010-12-06,2010,2010
51.49464523,-0.158105512,2010-07-19,2010,2010
51.49506109,-0.085814489,2010-07-13,2010,2010
51.52867339,-0.087459376,2010-07-10,2010,2010
51.526293,-0.073955,2010-07-23,2010,2010
51.53095071,-0.078505384,2010-07-14,2010,2010
51.52367314,-0.128377673,2010-07-21,2010,2010
51.49907558,-0.085666316,2010-07-22,2010,2010
51.49398524,-0.136928582,2010-07-22,2010,2010
51.50194596,-0.194392952,2010-12-08,2010,2010
51.50135267,-0.153194766,2010-07-19,2010,2010
51.50013942,-0.113936001,2010-09-06,2010,2010
51.50315739,-0.191496313,2010-07-21,2010,2010
51.5129118,-0.153645496,2010-07-16,2010,2010
51.51573534,-0.093080779,2010-07-15,2010,2010
51.51615461,-0.082422399,2010-07-19,2010,2010
51.51457763,-0.158264483,2010-07-14,2010,2010
51.51646835,-0.079684557,2010-07-13,2010,2010
51.49859784,-0.096191134,2010-07-20,2010,2010
51.49738251,-0.089446947,2010-07-10,2010,2010
51.51707521,-0.086685542,2010-07-10,2010,2010
51.5097860151,-0.0681619805156,2010-07-22,2010,2010
51.51552971,-0.190240716,2010-07-14,2010,2010
