,Station_name,Count_trips_starting_here,Count_trips_ending_here,All_trips_starting_ending_here,Station_latitude,Station_longitude,Borough
0,"Belgrove Street , King's Cross",308640,306402,615042,51.52994371,-0.123616824,Camden
1,"Holborn Circus, Holborn",136398,184096,320494,51.51795029,-0.108657431,Camden
2,"Warren Street Station, Euston",125904,125144,251048,51.52443845,-0.138019439,Camden
3,"Drury Lane, Covent Garden",119694,125686,245380,51.51477076,-0.12221963,Camden
4,"Malet Street, Bloomsbury",104844,105835,210679,51.52168078,-0.130431727,Camden
5,"Good's Way, King's Cross",104520,105644,210164,51.53466774,-0.125078653,Camden
6,"Hatton Wall, Holborn",99705,101954,201659,51.5216612,-0.109006325,Camden
7,"Endsleigh Gardens, Euston",96188,88292,184480,51.52683806,-0.130504336,Camden
8,"Red Lion Street, Holborn",95784,95695,191479,51.51824,-0.11655,Camden
9,"Bayley Street , Bloomsbury",90594,95387,185981,51.51858757,-0.132053392,Camden
10,"Castlehaven Road, Camden Town",88872,87795,176667,51.542138,-0.145393,Camden
11,"Doric Way , Somers Town",86512,74316,160828,51.5288338,-0.132250369,Camden
12,"British Museum, Bloomsbury",85342,84887,170229,51.51908011,-0.124678402,Camden
13,"Bonny Street, Camden Town",84550,82546,167096,51.541603,-0.138853,Camden
14,"Greenland Road, Camden Town",84279,87579,171858,51.539099,-0.141728,Camden
15,"Hampstead Road, Euston",83557,72856,156413,51.52554222,-0.138231303,Camden
16,"Howland Street, Fitzrovia",81533,84673,166206,51.520994,-0.139016,Camden
17,"Guilford Street , Bloomsbury",80871,80686,161557,51.52334672,-0.120202614,Camden
18,"Russell Square Station, Bloomsbury",80466,79412,159878,51.52341837,-0.124121774,Camden
19,"Birkenhead Street, King's Cross",79424,81246,160670,51.53019988,-0.122299441,Camden
20,"Earnshaw Street , Covent Garden",78986,81755,160741,51.51611887,-0.128585022,Camden
21,"Theobald's Road , Holborn",78097,77074,155171,51.52059681,-0.116688468,Camden
22,"Wren Street, Holborn",75955,70691,146646,51.524564,-0.116279,Camden
23,"Northington Street , Holborn",75596,75977,151573,51.5222641,-0.114079481,Camden
24,"Hatton Garden, Holborn",74278,70268,144546,51.51882555,-0.108028472,Camden
25,"High Holborn , Covent Garden",72283,75169,147452,51.516226,-0.124826,Camden
26,"Brunswick Square, Bloomsbury",70365,68908,139273,51.52395143,-0.122502346,Camden
27,"Albany Street, The Regent's Park",69746,60035,129781,51.528302,-0.144466,Camden
28,"Taviton Street, Bloomsbury",67849,64559,132408,51.52505093,-0.131161087,Camden
29,"Great Russell Street, Bloomsbury",67706,69943,137649,51.51772703,-0.127854211,Camden
30,"Southampton Place, Holborn",67085,69672,136757,51.51760685,-0.121328408,Camden
31,"Cartwright Gardens , Bloomsbury",65628,59444,125072,51.52635795,-0.125979294,Camden
32,"Tavistock Place, Bloomsbury",64317,58219,122536,51.5262503,-0.123509611,Camden
33,"Gloucester Avenue, Camden Town",64197,61515,125712,51.537349,-0.147154,Camden
34,"Charlotte Street, Fitzrovia",62564,63763,126327,51.51953043,-0.13577731,Camden
35,"Ossulston Street, Somers Town",62404,60125,122529,51.5293,-0.12827903,Camden
36,"Handyside Street, King's Cross",59389,56668,116057,51.53724056,-0.124807386,Camden
37,"Euston Road, Euston",57050,54943,111993,51.5262363,-0.134407652,Camden
38,"Bury Place, Holborn",52480,54795,107275,51.51746,-0.12335,Camden
39,"Royal College Street, Camden Town",51370,45357,96727,51.536264,-0.133952,Camden
40,"Sardinia Street, Holborn",51040,52942,103982,51.515208,-0.117863,Camden
41,"London Zoo Car Park, The Regent's Park",49143,47545,96688,51.53692216,-0.150181444,Camden
42,"Lincoln's Inn Fields, Holborn",47998,51518,99516,51.51627788,-0.118272992,Camden
43,"Coram Street, Bloomsbury",47923,41303,89226,51.524,-0.12640984,Camden
44,"Parkway, Camden Town",46142,54072,100214,51.538071,-0.144664,Camden
45,"Ampton Street , Clerkenwell",46135,40857,86992,51.52728093,-0.11829517,Camden
46,"Arlington Road, Camden Town",45641,45560,91201,51.539957,-0.145246,Camden
47,"Scala Street, Fitzrovia",44526,45910,90436,51.51991453,-0.136039674,Camden
48,"York Way, Kings Cross",42940,40760,83700,51.541596,-0.12544145,Camden
49,"Cromer Street, Bloomsbury",41038,38690,79728,51.528279,-0.11955857,Camden
50,"Pancras Road, King's Cross",40967,40930,81897,51.5341235,-0.129386874,Camden
51,"Eversholt Street , Camden Town",40786,38015,78801,51.53300545,-0.136792671,Camden
52,"St. Chad's Street, King's Cross",40722,45430,86152,51.53005939,-0.120973687,Camden
53,"Red Lion Square, Holborn",40510,38659,79169,51.51943538,-0.119123345,Camden
54,"Newton Street, Covent Garden",39719,41549,81268,51.51612862,-0.120909408,Camden
55,"Longford Street, The Regent's Park",39026,32768,71794,51.52559505,-0.144083893,Camden
56,"Bedford Way, Bloomsbury",38152,36550,74702,51.52367314,-0.128377673,Camden
57,"Drummond Street , Euston",32982,24911,57893,51.527326,-0.13605286,Camden
58,"Harrington Square 1, Camden Town",32310,27865,60175,51.53301907,-0.139174593,Camden
59,"Hawley Crescent, Camden Town",31322,31751,63073,51.54100708,-0.14326094,Camden
60,"Gower Place , Euston",30730,29172,59902,51.52522753,-0.13518856,Camden
61,"Euston Square Gardens, Euston",30575,29712,60287,51.527068,-0.13186102,Camden
62,"Store Street, Bloomsbury",28525,28528,57053,51.519572,-0.13214036,Camden
63,"St Martins Close, Camden Town",27269,24404,51673,51.538792,-0.138535,Camden
64,"Aquatic Centre, Queen Elizabeth Olympic Park",231145,233232,464377,51.54094,-0.010510565,Newham
65,"Podium, Queen Elizabeth Olympic Park",102804,105009,207813,51.538718,-0.011889482,Newham
66,"East Village, Queen Elizabeth Olympic Park",74223,74745,148968,51.546326,-0.00993526,Newham
67,"Timber Lodge, Queen Elizabeth Olympic Park",73337,73247,146584,51.546805,-0.01469126,Newham
68,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",68830,68375,137205,51.549369,-0.015717614,Newham
69,"Stratford Station, Stratford",62991,65313,128304,51.541793,-0.00481,Newham
70,"Shoreditch High Street, Shoreditch",140856,141042,281898,51.5263778,-0.078130921,Hackney
71,"Eagle Wharf Road, Hoxton",135120,114820,249940,51.53356,-0.09315,Hackney
72,"Dunston Road , Haggerston",116643,108802,225445,51.53658514,-0.075885686,Hackney
73,"Leonard Circus , Shoreditch",114187,122063,236250,51.52469624,-0.084439283,Hackney
74,"Victoria Park Road, Hackney Central",89960,89244,179204,51.53642464,-0.054162264,Hackney
75,"Pitfield Street North,Hoxton",85896,76741,162637,51.53558,-0.08249,Hackney
76,"Shoreditch Park, Hoxton",84864,74575,159439,51.53404294,-0.086379717,Hackney
77,"Haggerston Road, Haggerston",83357,81877,165234,51.53932857,-0.074284675,Hackney
78,"Goldsmith's Row, Haggerston",79705,73900,153605,51.531864,-0.066035,Hackney
79,"New Inn Yard, Shoreditch",79436,80962,160398,51.52452699,-0.079248081,Hackney
80,"Wenlock Road , Hoxton",78784,65148,143932,51.53099181,-0.093903825,Hackney
81,"Fanshaw Street, Hoxton",77692,68972,146664,51.52953709,-0.083353323,Hackney
82,"Hertford Road, De Beauvoir Town",69856,62965,132821,51.53727795,-0.079201849,Hackney
83,"Windsor Terrace, Hoxton",65518,55165,120683,51.52915444,-0.093421615,Hackney
84,"Ada Street, Hackney Central",64779,68585,133364,51.53571683,-0.060291813,Hackney
85,"Pindar Street, Liverpool Street",55631,58351,113982,51.520955,-0.083493552,Hackney
86,"Christopher Street, Liverpool Street",54802,61662,116464,51.52128377,-0.084605692,Hackney
87,"London Fields, Hackney Central",53655,53751,107406,51.54119,-0.058826101,Hackney
88,"East Road, Hoxton",53039,47527,100566,51.52867339,-0.087459376,Hackney
89,"Shoreditch Court, Haggerston",52315,49089,101404,51.53908372,-0.070329419,Hackney
90,"Pitfield Street Central, Hoxton",50388,40317,90705,51.53213,-0.08299,Hackney
91,"Murray Grove , Hoxton",47858,39869,87727,51.53089041,-0.089782579,Hackney
92,"Falkirk Street, Hoxton",47613,43831,91444,51.53095071,-0.078505384,Hackney
93,"Worship Street, Shoreditch",47407,52090,99497,51.521668,-0.079608554,Hackney
94,"Hoxton Station, Hoxton",44179,39507,83686,51.531091,-0.075901,Hackney
95,"Whiston Road, Haggerston",43531,36332,79863,51.534464,-0.076341,Hackney
96,"Queensbridge Road, Haggerston",41928,36207,78135,51.53385,-0.06992,Hackney
97,"Hoxton Street, Hoxton",39762,33538,73300,51.52959,-0.0801,Hackney
98,"Clifton Street, Shoreditch",35892,37379,73271,51.523196,-0.083067,Hackney
99,"Here East North, Queen Elizabeth Olympic Park",31294,32524,63818,51.54873119,-0.022606555,Hackney
100,"Belford House, Haggerston",31233,26203,57436,51.5366541,-0.07023031,Hackney
101,"New North Road 2, Hoxton",27059,22982,50041,51.53114,-0.086016,Hackney
